PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME,CARRIER_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DEST_LATITUDE,DEST_LONGITUDE
311394,494805066,"Delta Air Lines Inc.-San Francisco, CA-Minneapolis, MN Total Total",Delta Air Lines Inc.,"San Francisco, CA","Minneapolis, MN",37.7792588,-122.4193286,44.9772995,-93.2654692
310788,115923924,"Delta Air Lines Inc.-Cincinnati, OH-Atlanta, GA Total Total",Delta Air Lines Inc.,"Cincinnati, OH","Atlanta, GA",39.1014537,-84.5124602,33.7544657,-84.3898151
310511,115199581,"Southwest Airlines Co.-Oakland, CA-Santa Ana, CA Total Total",Southwest Airlines Co.,"Oakland, CA","Santa Ana, CA",37.8044557,-122.271356,33.7494951,-117.873221
310457,101519439,"Southwest Airlines Co.-Baltimore, MD-Providence, RI Total Total",Southwest Airlines Co.,"Baltimore, MD","Providence, RI",39.2908816,-76.610759,41.8239891,-71.4128343
310203,572634738,"American Airlines Inc.-Chicago, IL-San Francisco, CA Total Total",American Airlines Inc.,"Chicago, IL","San Francisco, CA",41.8755616,-87.6244212,37.7792588,-122.4193286
309017,250612787,"United Air Lines Inc.-Cancun, Mexico-Houston, TX Total Total",United Air Lines Inc.,"Cancun, Mexico","Houston, TX",21.1527467,-86.8425761,29.7589382,-95.3676974
308670,493254660,"JetBlue Airways-New York, NY-San Juan, PR Total Total",JetBlue Airways,"New York, NY","San Juan, PR",40.7127281,-74.0060152,18.384239,-66.05344
308164,69350552,"American Airlines Inc.-Dallas/Fort Worth, TX-Houston, TX Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Houston, TX",32.8369894,-97.033926,29.7589382,-95.3676974
307481,435393245,"United Air Lines Inc.-Houston, TX-New York, NY Total Total",United Air Lines Inc.,"Houston, TX","New York, NY",29.7589382,-95.3676974,40.7127281,-74.0060152
307452,567556392,"American Airlines Inc.-San Francisco, CA-Chicago, IL Total Total",American Airlines Inc.,"San Francisco, CA","Chicago, IL",37.7792588,-122.4193286,41.8755616,-87.6244212
307004,264637448,"Southwest Airlines Co.-Denver, CO-Los Angeles, CA Total Total",Southwest Airlines Co.,"Denver, CO","Los Angeles, CA",39.7392364,-104.984862,34.0536909,-118.242766
306924,258430008,"Southwest Airlines Co.-Tampa, FL-Baltimore, MD Total Total",Southwest Airlines Co.,"Tampa, FL","Baltimore, MD",27.9477595,-82.458444,39.2908816,-76.610759
306899,264546938,"Southwest Airlines Co.-Los Angeles, CA-Denver, CO Total Total",Southwest Airlines Co.,"Los Angeles, CA","Denver, CO",34.0536909,-118.242766,39.7392364,-104.984862
306414,114292422,"Delta Air Lines Inc.-Atlanta, GA-Cincinnati, OH Total Total",Delta Air Lines Inc.,"Atlanta, GA","Cincinnati, OH",33.7544657,-84.3898151,39.1014537,-84.5124602
304937,93920596,"Southwest Airlines Co.-San Jose, CA-Los Angeles, CA Total Total",Southwest Airlines Co.,"San Jose, CA","Los Angeles, CA",37.3361663,-121.890591,34.0536909,-118.242766
304867,68613473,"American Airlines Inc.-Houston, TX-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Houston, TX","Dallas/Fort Worth, TX",29.7589382,-95.3676974,32.8369894,-97.033926
304656,324458640,"United Air Lines Inc.-Newark, NJ-Fort Lauderdale, FL Total Total",United Air Lines Inc.,"Newark, NJ","Fort Lauderdale, FL",40.735657,-74.1723667,26.1223084,-80.1433786
304609,91991918,"Southwest Airlines Co.-New Orleans, LA-Houston, TX Total Total",Southwest Airlines Co.,"New Orleans, LA","Houston, TX",29.9559145,-90.0730259,29.7589382,-95.3676974
304479,241451847,"Southwest Airlines Co.-Dallas, TX-Chicago, IL Total Total",Southwest Airlines Co.,"Dallas, TX","Chicago, IL",32.7762719,-96.7968559,41.8755616,-87.6244212
303910,241000630,"Southwest Airlines Co.-Chicago, IL-Dallas, TX Total Total",Southwest Airlines Co.,"Chicago, IL","Dallas, TX",41.8755616,-87.6244212,32.7762719,-96.7968559
